THJPID	Simplified	Pinyin	CN_IPA_Tone	Traditional	Bopomofo	Tongyong_Pinyin	TW_IPA_Tone	Kanji	TouhouRoman	Yomigana	JP_IPA	SimplifiedSPLF	TraditionalSPLF	BopomofoSPLF	KanjiSPLF	IsNotCharacter
1	东方	dōng fāng	[tʊ̄ŋ fāŋ]	東方	ㄉㄨㄥ ㄈㄤ	dōng fāng	[tʊ̄ŋ fāŋ]	東方	Touhou	とうほう	/toːhoː/	东方	東方	ㄉㄨㄥ ㄈㄤ	東方	TRUE
2	博丽灵梦	Bólì Língmèng	[pwó lì líŋ mə̀ŋ]	博麗靈夢	ㄅㄛˊ ㄌㄧˋ ㄌㄧㄥˊ ㄇㄥˋ	Bólì Língmèng	[pwó lì líŋ mə̀ŋ]	博麗霊夢	Hakurei Reimu	はくれい れいむ	/hakɯɾeː ɾeːmɯ/	博丽 灵梦	博麗 靈夢	ㄅㄛˊ ㄌㄧˋ ㄌㄧㄥˊ ㄇㄥˋ	博麗 霊夢	
3	雾雨魔理沙	Wùyǔ Mólǐshā	[ù y̌ mwó lǐ ʂā]	霧雨魔理沙	ㄨˋ ㄩˇ ㄇㄛˊ ㄌㄧˇ ㄕㄚ	Wùyǔ Mólǐshā	[ù y̌ mwó lǐ ʂā]	霧雨魔理沙	Kirisame Marisa	きりさめ まりさ	/kiɾisame maɾisa/	雾雨 魔理沙	霧雨 魔理沙	ㄨˋ ㄩˇ ㄇㄛˊ ㄌㄧˇ ㄕㄚ	霧雨 魔理沙	
4	红魔乡	Hóngmóxiāng	[xʊ́ŋ mwó ɕjāŋ]	紅魔鄉	ㄏㄨㄥˊ ㄇㄛˊ ㄒㄧㄤ	Hóngmósiāng	[xʊ́ŋ mwó ɕjāŋ]	紅魔郷	Koumakyou	こうまきょう	/koːmakʲoː/	红魔乡	紅魔鄉	ㄏㄨㄥˊ ㄇㄛˊ ㄒㄧㄤ	紅魔郷	TRUE
5	露米娅	Lùmǐyà	[lù mǐ jà]	露米婭	ㄌㄨˋ ㄇㄧˇ ㄧㄚˋ	Lùmǐyà	[lù mǐ jà]	ルーミア	Rumia	るーみあ	/ɾɯːmia/	露米娅	露米婭	ㄌㄨˋ ㄇㄧˇ ㄧㄚˋ	ルーミア	
6	大妖精	Dàyāojīng	[tà jāu tɕīŋ]	大妖精	ㄉㄚˋ ㄧㄠ ㄐㄧㄥ	Dàyāojīng	[tà jāu tɕīŋ]	大妖精	Daiyousei	だいようせい	/daijoːseː/	大妖精	大妖精	ㄉㄚˋ ㄧㄠ ㄐㄧㄥ	大妖精	
7	琪露诺	Qílùnuò	[tɕʰí lù nwò]	琪露諾	ㄑㄧˊ ㄌㄨˋ ㄋㄨㄛˋ	Cílùnuò	[tɕʰí lù nwò]	チルノ	Cirno	ちるの	/tɕiɾɯno/	琪露诺	琪露諾	ㄑㄧˊ ㄌㄨˋ ㄋㄨㄛˋ	チルノ	
7	奇鲁诺	Qílǔnuò	[tɕʰí lǔ nwò]	奇魯諾	ㄑㄧˊ ㄌㄨˇ ㄋㄨㄛˋ	Cílǔnuò	[tɕʰí lǔ nwò]	チルノ	Cirno	ちるの	/tɕiɾɯno/	奇鲁诺	奇魯諾	ㄑㄧˊ ㄌㄨˇ ㄋㄨㄛˋ	チルノ	
8	红美铃	Hóng Měilíng	[xʊ́ŋ měi líŋ]	紅美鈴	ㄏㄨㄥˊ ㄇㄟˇ ㄌㄧㄥˊ	Hóng Měilíng	[xʊ́ŋ měi líŋ]	紅美鈴	Hong Meiling	ほん めいりん	/hoɴ meːɾiɴ/	红 美铃	紅美鈴	ㄏㄨㄥˊ ㄇㄟˇ ㄌㄧㄥˊ	紅美鈴	
9	小恶魔	Xiǎoèmó	[ɕjǎu ɤ̀ mwó]	小惡魔	ㄒㄧㄠˇ ㄜˋ ㄇㄛˊ	Siǎo'èmó	[ɕjǎu ɤ̀ mwó]	小悪魔	Koakuma	こあくま	/koakɯma/	小恶魔	小惡魔	ㄒㄧㄠˇ ㄜˋ ㄇㄛˊ	小悪魔	
